1,0,0,0,0,0,0,
1,0.08,0.0064,0.000512,4.096e-05,3.2768e-06,2.62144e-07,
1,0.16,0.0256,0.004096,0.00065536,0.000104858,1.67772e-05,
1,0.24,0.0576,0.013824,0.00331776,0.000796262,0.000191103,
1,0.32,0.1024,0.032768,0.0104858,0.00335544,0.00107374,
1,0.4,0.16,0.064,0.0256,0.01024,0.004096,
1,0.48,0.2304,0.110592,0.0530842,0.0254804,0.0122306,
1,0.56,0.3136,0.175616,0.098345,0.0550732,0.030841,
1,0.64,0.4096,0.262144,0.167772,0.107374,0.0687195,
1,0.72,0.5184,0.373248,0.268739,0.193492,0.139314,
1,0.8,0.64,0.512,0.4096,0.32768,0.262144,
